text,direction,true_label_idx,true_label_cn,pred_label,pred_label_cn,pred_idx,confidence,prob_left,prob_right,prob_bidirectional,correct,result
由于交通堵塞，我今天上班迟到了,left,0,左向(因果),left,左向(因果),0,0.9993820190429688,0.9993820190429688,0.0006045376067049801,1.345385408058064e-05,True,✓ 正确
根据用户反馈，我们优化了产品界面,left,0,左向(因果),left,左向(因果),0,0.9992905855178833,0.9992905855178833,0.0007001002668403089,9.33607134356862e-06,True,✓ 正确
首先清理数据，然后训练模型，最后评估结果,left,0,左向(因果),left,左向(因果),0,0.9398958683013916,0.9398958683013916,0.059462107717990875,0.0006419802666641772,True,✓ 正确
他先是感到惊讶，接着露出了微笑,left,0,左向(因果),left,左向(因果),0,0.9994851350784302,0.9994851350784302,0.0005064372671768069,8.51221466291463e-06,True,✓ 正确
因为昨晚没睡好，所以今天精神不佳,left,0,左向(因果),left,左向(因果),0,0.9976806640625,0.9976806640625,0.002269430086016655,4.9848906201077625e-05,True,✓ 正确
会议结束后，大家接着讨论了具体实施方案,left,0,左向(因果),left,左向(因果),0,0.995952844619751,0.995952844619751,0.003955408465117216,9.178997424896806e-05,True,✓ 正确
按照说明书的步骤，我很快就组装好了,left,0,左向(因果),left,左向(因果),0,0.9533292055130005,0.9533292055130005,0.04624983295798302,0.00042092270450666547,True,✓ 正确
由于预算削减，这个项目被迫暂停了,left,0,左向(因果),left,左向(因果),0,0.999546468257904,0.999546468257904,0.0004437207826413214,9.763188245415222e-06,True,✓ 正确
他仔细阅读了合同，然后在上面签了字,left,0,左向(因果),left,左向(因果),0,0.9990772008895874,0.9990772008895874,0.0008888328447937965,3.3894189982675016e-05,True,✓ 正确
听完这个故事后，孩子们都进入了梦乡,left,0,左向(因果),left,左向(因果),0,0.9991148114204407,0.9991148114204407,0.0008699304889887571,1.5295143384719267e-05,True,✓ 正确
根据最新气象预报，明天将有大雨,left,0,左向(因果),left,左向(因果),0,0.9993137121200562,0.9993137121200562,0.0006787908496335149,7.494122655771207e-06,True,✓ 正确
他打开电脑，接着开始处理今天的邮件,left,0,左向(因果),left,左向(因果),0,0.9966609477996826,0.9966609477996826,0.0032661461737006903,7.292087684618309e-05,True,✓ 正确
为了身体健康，他决定每天坚持锻炼,left,0,左向(因果),left,左向(因果),0,0.9993501305580139,0.9993501305580139,0.0006399168050847948,9.909126674756408e-06,True,✓ 正确
收到指令后，机器人立刻开始执行任务,left,0,左向(因果),left,左向(因果),0,0.9960727691650391,0.9960727691650391,0.003637739922851324,0.0002894500794354826,True,✓ 正确
首先，我们需要明确目标用户群体,left,0,左向(因果),left,左向(因果),0,0.9483755826950073,0.9483755826950073,0.05106266960501671,0.0005617830320261419,True,✓ 正确
因为下雨，所以户外的活动取消了,left,0,左向(因果),left,左向(因果),0,0.9978093504905701,0.9978093504905701,0.0021436174865812063,4.709345375886187e-05,True,✓ 正确
他拿起画笔，然后开始在画布上创作,left,0,左向(因果),left,左向(因果),0,0.9981239438056946,0.9981239438056946,0.0018349214224144816,4.116099080420099e-05,True,✓ 正确
根据公司的规定，所有员工都需要打卡,left,0,左向(因果),left,左向(因果),0,0.9992654919624329,0.9992654919624329,0.0007248954498209059,9.628402949601877e-06,True,✓ 正确
他先去图书馆还书，接着又去超市购物,left,0,左向(因果),left,左向(因果),0,0.9993802309036255,0.9993802309036255,0.0006098889280110598,9.9061471701134e-06,True,✓ 正确
由于证据不足，法庭最终判他无罪,left,0,左向(因果),left,左向(因果),0,0.9993996620178223,0.9993996620178223,0.0005862931720912457,1.4116195416136179e-05,True,✓ 正确
这个算法首先对图像进行预处理，然后提取特征,left,0,左向(因果),right,右向(反因果),1,0.46620509028434753,0.3787999153137207,0.46620509028434753,0.15499503910541534,False,✗ 错误
因为他的努力，团队成功完成了目标,left,0,左向(因果),left,左向(因果),0,0.9981902241706848,0.9981902241706848,0.0017694085836410522,4.028885450679809e-05,True,✓ 正确
看完电影后，我们顺便去吃了夜宵,left,0,左向(因果),left,左向(因果),0,0.9992398023605347,0.9992398023605347,0.000749870203435421,1.034604701999342e-05,True,✓ 正确
根据历史记载，这座城市建于三百年前,left,0,左向(因果),left,左向(因果),0,0.999167799949646,0.999167799949646,0.000821203866507858,1.1126378012704663e-05,True,✓ 正确
他思考片刻，然后给出了一个完美的答案,left,0,左向(因果),left,左向(因果),0,0.9993690848350525,0.9993690848350525,0.0006182725774124265,1.2569147656904534e-05,True,✓ 正确
由于市场需求变化，公司调整了生产策略,left,0,左向(因果),left,左向(因果),0,0.9995341300964355,0.9995341300964355,0.00045681052142754197,9.082508768187836e-06,True,✓ 正确
我们首先要收集数据，这是分析的基础,left,0,左向(因果),left,左向(因果),0,0.9972681999206543,0.9972681999206543,0.0026094906497746706,0.00012228437117300928,True,✓ 正确
他穿上外套，接着就匆匆出门了,left,0,左向(因果),left,左向(因果),0,0.9737415313720703,0.9737415313720703,0.02324373461306095,0.0030146483331918716,True,✓ 正确
为了保护环境，我们应该减少使用塑料袋,left,0,左向(因果),left,左向(因果),0,0.9994837045669556,0.9994837045669556,0.0005081036943010986,8.253497071564198e-06,True,✓ 正确
根据能量守恒定律，能量不会凭空消失,left,0,左向(因果),left,左向(因果),0,0.9993282556533813,0.9993282556533813,0.0006643334636464715,7.34518789613503e-06,True,✓ 正确
毕业之后，他先是工作了两年，然后决定考研,left,0,左向(因果),left,左向(因果),0,0.9849848747253418,0.9849848747253418,0.014807547442615032,0.00020754773868247867,True,✓ 正确
因为意见不合，他们发生了激烈的争吵,left,0,左向(因果),left,左向(因果),0,0.998202919960022,0.998202919960022,0.0017547204624861479,4.234907464706339e-05,True,✓ 正确
他按下开关，随后机器开始运转起来,left,0,左向(因果),left,左向(因果),0,0.9885129928588867,0.9885129928588867,0.011094648391008377,0.00039242126513272524,True,✓ 正确
按照食谱的指示，她成功烤出了美味的蛋糕,left,0,左向(因果),left,左向(因果),0,0.9516680240631104,0.9516680240631104,0.04796499386429787,0.0003669648722279817,True,✓ 正确
由于设备老化，工厂的生产效率下降了,left,0,左向(因果),left,左向(因果),0,0.9995033740997314,0.9995033740997314,0.00048443226842209697,1.2180425073893275e-05,True,✓ 正确
他先环顾四周，然后小心翼翼地打开了门,left,0,左向(因果),left,左向(因果),0,0.999362051486969,0.999362051486969,0.0006274532643146813,1.0434536307002418e-05,True,✓ 正确
为了提升技能，他报名参加了在线课程,left,0,左向(因果),left,左向(因果),0,0.9993231296539307,0.9993231296539307,0.000669020286295563,7.87743010732811e-06,True,✓ 正确
根据达尔文的进化论，物种是不断演变的,left,0,左向(因果),left,左向(因果),0,0.9992377758026123,0.9992377758026123,0.0007533056195825338,8.924233952711802e-06,True,✓ 正确
他关掉闹钟，接着又赖了一会儿床,left,0,左向(因果),left,左向(因果),0,0.9995449185371399,0.9995449185371399,0.00044982138206250966,5.276187494018814e-06,True,✓ 正确
因为准备充分，所以这次考试他很有信心,left,0,左向(因果),left,左向(因果),0,0.9974345564842224,0.9974345564842224,0.00251155998557806,5.38907443115022e-05,True,✓ 正确
系统在接收到请求后，会立刻进行处理,left,0,左向(因果),right,右向(反因果),1,0.972920835018158,0.02524697594344616,0.972920835018158,0.001832146430388093,False,✗ 错误
首先要打好基础，然后才能追求更高层次的发展,left,0,左向(因果),left,左向(因果),0,0.9470161199569702,0.9470161199569702,0.052418921142816544,0.0005650484235957265,True,✓ 正确
为了赶上早班车，他天不亮就起床了,left,0,左向(因果),left,左向(因果),0,0.9993550181388855,0.9993550181388855,0.0006353382486850023,9.615391718398314e-06,True,✓ 正确
根据客户的要求，我们修改了设计方案,left,0,左向(因果),left,左向(因果),0,0.9993441700935364,0.9993441700935364,0.0006488031940534711,6.973961717449129e-06,True,✓ 正确
他喝了一口水，然后继续他的演讲,left,0,左向(因果),left,左向(因果),0,0.9984500408172607,0.9984500408172607,0.0015161950141191483,3.3724194508977234e-05,True,✓ 正确
由于全球变暖，极端天气事件越来越频繁,left,0,左向(因果),left,左向(因果),0,0.9994503855705261,0.9994503855705261,0.0005364592652767897,1.3130579645803664e-05,True,✓ 正确
他先是学习理论知识，接着进行大量实践,left,0,左向(因果),left,左向(因果),0,0.999458372592926,0.999458372592926,0.0005322796641848981,9.288460205425508e-06,True,✓ 正确
因为热爱，所以他选择了这个冷门的专业,left,0,左向(因果),left,左向(因果),0,0.9979786276817322,0.9979786276817322,0.0019756697583943605,4.5726748794550076e-05,True,✓ 正确
我们必须首先分析问题，然后才能找到解决方案,left,0,左向(因果),left,左向(因果),0,0.9965115189552307,0.9965115189552307,0.003261003876104951,0.0002275075821671635,True,✓ 正确
雨停了，接着太阳从云层里露出了笑脸,left,0,左向(因果),left,左向(因果),0,0.9984070658683777,0.9984070658683777,0.0015760089736431837,1.68952283274848e-05,True,✓ 正确
大家都以为比赛会输，没想到我们竟然赢了,right,1,右向(反因果),right,右向(反因果),1,0.9997829794883728,0.0001256266114069149,0.9997829794883728,9.143418719759211e-05,True,✓ 正确
