text,direction,pred_idx,pred_label,pred_label_cn,confidence,prob_left,prob_right,prob_bidirectional,route_final,p_nonleft
警报响了，原来是误报。,right,1,right,右向(反因果),0.9940500855445862,0.004977424629032612,0.9940500855445862,0.0009724858100526035,bidir,0.9950225713546388
股价大跌，看来是系统升级导致。,right,1,right,右向(反因果),0.9977661371231079,0.0016394915292039514,0.9977661371231079,0.0005943645955994725,bidir,0.9983605017187074
项目延期了，想来是人手不足。,right,1,right,右向(反因果),0.993367612361908,0.005597890820354223,0.993367612361908,0.0010344948386773467,bidir,0.9944021072005853
他迟到了，结果是堵车严重。,right,1,right,右向(反因果),0.9825688600540161,0.01582755707204342,0.9825688600540161,0.001603520824573934,bidir,0.98417238087859
数据丢失，其实是备份失败。,right,1,right,右向(反因果),0.9942611455917358,0.004773752298206091,0.9942611455917358,0.0009651225409470499,bidir,0.9952262681326829
合同终止，真相是资金链断裂。,right,1,right,右向(反因果),0.9326616525650024,0.064483642578125,0.9326616525650024,0.002854737685993314,bidir,0.9355163902509958
"The alarm went off, it turned out to be a false alert.",right,1,right,右向(反因果),0.9610462188720703,0.03669840097427368,0.9610462188720703,0.002255417173728347,bidir,0.9633016360457987
"She resigned suddenly, apparently for health reasons.",right,1,right,右向(反因果),0.9352851510047913,0.061907511204481125,0.9352851510047913,0.0028073969297111034,bidir,0.9380925479345024
"The meeting was cancelled, the reason was the typhoon.",right,1,right,右向(反因果),0.9945082068443298,0.004565186332911253,0.9945082068443298,0.000926568522118032,bidir,0.9954347753664479
"Traffic stopped, it seems the bridge collapsed.",right,1,right,右向(反因果),0.6517847776412964,0.3438020348548889,0.6517847776412964,0.004413187503814697,bidir,0.6561979651451111
他没来上班，原来是生病了。,right,1,right,右向(反因果),0.9977967739105225,0.0016556314658373594,0.9977967739105225,0.0005475711077451706,bidir,0.9983443450182676
系统崩溃，看来是内存溢出。,right,1,right,右向(反因果),0.997229278087616,0.0021518089342862368,0.997229278087616,0.0006189164705574512,bidir,0.9978481945581734
订单取消，想来是客户反悔。,right,1,right,右向(反因果),0.9977021813392639,0.0017417127965018153,0.9977021813392639,0.0005561413709074259,bidir,0.9982583227101713
演出推迟，结果是演员受伤。,right,1,right,右向(反因果),0.9973245859146118,0.0020695722196251154,0.9973245859146118,0.000605819164775312,bidir,0.9979304050793871
